trainer,index,type,subject,input,calc
"Hiker Jameson",1,moves,"Camerupt","[]","['ancient power', 'earthquake', 'lava plume', 'stealth rock']"
"Hiker Jameson",2,ability,"Golurk","","well baked body rash"
"Hiker Jameson",2,moves,"Golurk","[]","['heat crash', 'shadow punch', 'stompin tantrum', 'thunder punch']"
"Hiker Jameson",3,ability,"Magmar","","no guard"
"Hiker Jameson",3,moves,"Magmar","[]","['dynamic punch', 'fire spin', 'sludge wave', 'thunder']"
"Hiker Jebediah",0,ability,"Skarmory","","sturdy"
"Hiker Jebediah",0,moves,"Skarmory","[]","['acrobatics', 'body press', 'drill run', 'sand attack']"
"Hiker Jebediah",1,ability,"Durant","","hustle"
"Hiker Jebediah",1,moves,"Durant","[]","['iron head', 'lunge', 'rock climb', 'stompin tantrum']"
"Hiker Jerome",0,ability,"Nosepass","","sand stream"
"Hiker Jerome",0,moves,"Nosepass","[]","['electroweb', 'mud shot', 'rock slide', 'thunder wave']"
"Hiker Jerome",1,ability,"Yamask","","shadow tag"
"Hiker Jerome",1,moves,"Yamask","[]","['hex', 'metal sound', 'scorching sands', 'will-o-wisp']"
"Hiker Jerome",2,ability,"Vullaby","","overcoat"
"Hiker Jerome",2,moves,"Vullaby","[]","['bone rush', 'feint attack', 'pluck', 'roost']"
"Hiker Jerome",3,ability,"Sandshrew","","sand force"
"Hiker Jerome",3,moves,"Sandshrew","[]","['bone club', 'cut', 'rock smash', 'rock throw']"
"Hiker Keith",0,ability,"Golem","","sturdy"
"Hiker Keith",0,moves,"Golem","[]","['double-edge', 'earthquake', 'focus punch', 'rock slide']"
"Hiker Keith",1,ability,"Parasect","","stakeout"
"Hiker Keith",1,moves,"Parasect","[]","['ingrain', 'leech life', 'protect', 'spore']"
"Hiker Keith",2,ability,"Crustle","","shed skin"
"Hiker Keith",2,moves,"Crustle","[]","['rest', 'rock climb', 'toxic', 'u-turn']"
"Hiker Keith",3,ability,"Solrock","","levitate"
"Hiker Keith",3,moves,"Solrock","[]","['earth power', 'flame burst', 'psychic', 'shadow ball']"
"Hiker Otto",0,ability,"Carracosta","","brave"
"Hiker Otto",0,moves,"Carracosta","[]","['knock off', 'rock slide', 'shell smash', 'surf']"
"Hiker Otto",1,ability,"Probopass","","sturdy"
"Hiker Otto",1,moves,"Probopass","[]","['electro shot', 'flash cannon', 'meteor beam', 'volt switch']"
"Hiker Otto",2,ability,"Sandslash","","sand force"
"Hiker Otto",2,moves,"Sandslash","[]","['bone rush', 'rock blast', 'sandstorm', 'spike cannon']"
"Hiker Otto",3,ability,"Gigalith","","chlorophyll"
"Hiker Otto",3,moves,"Gigalith","[]","['ancient power', 'charge beam', 'earth power', 'solar beam']"
"Hiker Shelby",0,ability,"Kabutops","","skill link"
"Hiker Shelby",0,moves,"Kabutops","[]","['aqua tail', 'bone rush', 'fury swipes', 'rock blast']"
"Hiker Shelby",1,ability,"Armaldo","","battle armor"
"Hiker Shelby",1,moves,"Armaldo","[]","['dragon dance', 'leech life', 'rock slide', 'superpower']"
"Hiker Tobias",0,ability,"Forretress","","careful"
"Hiker Tobias",0,moves,"Forretress","[]","['barrage', 'icicle spear', 'pin missile', 'rock blast']"
"Hiker Tobias",1,ability,"Cradily","","storm drain"
"Hiker Tobias",1,moves,"Cradily","[]","['diamond storm', 'energy ball', 'scorching sands', 'stealth rock']"
"Hiker Tobias",2,ability,"Bronzong","","levitate"
"Hiker Tobias",2,moves,"Bronzong","[]","['flash cannon', 'psychic noise', 'rain dance', 'weather ball']"
"Hiker Tobias",3,ability,"Blastoise","","determined"
"Hiker Tobias",3,moves,"Blastoise","[]","['block', 'double-edge', 'gyro ball', 'wave crash']"
"Janitor Brady",0,ability,"Cinccino","","skill link"
"Janitor Brady",0,moves,"Cinccino","[]","['bullet seed', 'secret power', 'thunder wave', 'u-turn']"
"Janitor Brady",1,ability,"Golbat","","infiltrator"
"Janitor Brady",1,moves,"Golbat","[]","['dual wingbeat', 'giga drain', 'poison fang', 'u-turn']"
"Janitor Brady",2,ability,"Lairon","","sturdy"
"Janitor Brady",2,moves,"Lairon","[]","['dragon breath', 'metal claw', 'shock wave', 'water pulse']"
"Janitor Brady",3,ability,"Rotom","","levitate"
"Janitor Brady",3,moves,"Rotom","[]","['electroweb', 'icy wind', 'leaf tornado', 'volt switch']"
"Janitor Brady",4,ability,"Skuntank","","stench"
"Janitor Brady",4,moves,"Skuntank","[]","['flame burst', 'poison gas', 'snarl', 'venoshock']"
"Janitor Felix",0,ability,"Shellos","","storm drain"
"Janitor Felix",0,moves,"Shellos","[]","['mud bomb', 'muddy water', 'sludge bomb', 'spikes']"
"Janitor Felix",1,ability,"Wormadam","","battle armor"
"Janitor Felix",1,moves,"Wormadam","[]","['heal order', 'metal burst', 'psychic', 'silver wind']"
"Janitor Felix",2,ability,"Raticate","","adaptability"
"Janitor Felix",2,moves,"Raticate","[]","['dig', 'hyper fang', 'quick attack', 'sand attack']"
"Janitor Felix",3,ability,"Swalot","","corrosion"
"Janitor Felix",3,moves,"Swalot","[]","['bulldoze', 'seed bomb', 'toxic', 'venoshock']"
"Janitor Orville",0,ability,"Trubbish","","weak armor"
"Janitor Orville",0,moves,"Trubbish","[]","['cut', 'poison gas', 'rock throw', 'sludge']"
"Janitor Orville",1,ability,"Minccino","","skill link"
"Janitor Orville",1,moves,"Minccino","[]","['disarming voice', 'pursuit', 'swift', 'work up']"
"Janitor Orville",2,ability,"Scraggy","","intimidate"
"Janitor Orville",2,moves,"Scraggy","[]","['assurance', 'headbutt', 'karate chop', 'screech']"
"Janitor Orville",3,ability,"Grimer","","water absorb"
"Janitor Orville",3,moves,"Grimer","[]","['brutal swing', 'shadow sneak', 'sludge', 'toxic']"
"Kanto Leader Brock",0,ability,"Geodude","","sturdy"
"Kanto Leader Brock",0,moves,"Geodude","[]","['bulldoze', 'rock smash', 'rock tomb', 'thunder punch']"
"Kanto Leader Brock",1,ability,"Vulpix","","drought"
"Kanto Leader Brock",1,moves,"Vulpix","[]","['disarming voice', 'incinerate', 'night shade', 'will-o-wisp']"
"Kanto Leader Brock",2,ability,"Croagunk","","exploit"
"Kanto Leader Brock",2,moves,"Croagunk","[]","['icy wind', 'low sweep', 'mud shot', 'venoshock']"
"Kanto Leader Brock",3,ability,"Happiny","","huge power"
"Kanto Leader Brock",3,moves,"Happiny","[]","['brutal swing', 'rock smash', 'rock throw', 'secret power']"
"Kanto Leader Brock",4,ability,"Bonsly","","prankster"
"Kanto Leader Brock",4,moves,"Bonsly","[]","['copycat', 'razor leaf', 'rock smash', 'rock tomb']"
"Kanto Leader Erika",0,ability,"Ninetales","","drought"
"Kanto Leader Erika",0,moves,"Ninetales","[]","['moonblast', 'mystical fire', 'psychic', 'solar beam']"
"Kanto Leader Erika",1,ability,"Beautifly","","chlorophyll"
"Kanto Leader Erika",1,moves,"Beautifly","[]","['bug buzz', 'moonblast', 'solar beam', 'u-turn']"
"Kanto Leader Erika",2,ability,"Cherrim","","flower gift"
"Kanto Leader Erika",2,moves,"Cherrim","[]","['double-edge', 'petal blizzard', 'u-turn', 'weather ball']"
"Kanto Leader Erika",3,ability,"Victreebel","","docile"
"Kanto Leader Erika",3,moves,"Victreebel","[]","['poison jab', 'rock climb', 'sleep powder', 'weather crash']"
"Kanto Leader Erika",4,ability,"Nidoqueen","","modest"
"Kanto Leader Erika",4,moves,"Nidoqueen","[]","['earth power', 'flamethrower', 'sludge bomb', 'solar beam']"
"Kanto Leader Erika",5,ability,"Vileplume","","chlorophyll"
"Kanto Leader Erika",5,moves,"Vileplume","[]","['attract', 'fairy wind', 'mystical fire', 'solar beam']"
"Kanto Leader Janine",0,ability,"Drapion","","tough claws"
"Kanto Leader Janine",0,moves,"Drapion","[]","['cross poison', 'knock off', 'power whip', 'toxic spikes']"
"Kanto Leader Janine",1,ability,"Glalie","","determined"
"Kanto Leader Janine",1,moves,"Glalie","[]","['head smash', 'sheer cold', 'spikes', 'superpower']"
"Kanto Leader Janine",2,ability,"Noctowl","","keen senses"
"Kanto Leader Janine",2,moves,"Noctowl","[]","['air slash', 'blizzard', 'hypnosis', 'shadow ball']"
"Kanto Leader Janine",3,ability,"Weezing","","levitate"
"Kanto Leader Janine",3,moves,"Weezing","[]","['body press', 'gyro ball', 'heat wave', 'thunderbolt']"
"Kanto Leader Janine",4,ability,"Samurott","","hyper cutter"
"Kanto Leader Janine",4,moves,"Samurott","[]","['aqua tail', 'night slash', 'sacred sword', 'x-scissor']"
"Kanto Leader Janine",5,ability,"Crobat","","sniper"
"Kanto Leader Janine",5,moves,"Crobat","[]","['air slash', 'aura sphere', 'cross poison', 'dark pulse']"
"Kanto Leader Lt. Surge",0,ability,"Forretress","","calm"
"Kanto Leader Lt. Surge",0,moves,"Forretress","[]","['bullet seed', 'pin missile', 'rock blast', 'spike cannon']"
"Kanto Leader Lt. Surge",1,ability,"Electabuzz","","relaxed"
"Kanto Leader Lt. Surge",1,moves,"Electabuzz","[]","['bulk up', 'drain punch', 'facade', 'ice punch']"
"Kanto Leader Lt. Surge",2,ability,"Electrode","","aftermath"
"Kanto Leader Lt. Surge",2,moves,"Electrode","[]","['discharge', 'double-edge', 'magnet bomb', 'rollout']"
"Kanto Leader Lt. Surge",3,ability,"Krookodile","","stompin tantrum crunch thunder fang pursuit"
"Kanto Leader Lt. Surge",4,ability,"Octillery","","sniper"
"Kanto Leader Lt. Surge",4,moves,"Octillery","[]","['aurora beam', 'bubble beam', 'flame burst', 'natural gift']"
"Kanto Leader Lt. Surge",5,ability,"Raichu","","teravolt"
"Kanto Leader Lt. Surge",5,moves,"Raichu","[]","['discharge', 'mud bomb', 'strength', 'surf']"
"Kanto Leader Misty",0,ability,"Psyduck","","swift swim"
"Kanto Leader Misty",0,moves,"Psyduck","[]","['calm mind', 'telekinesis', 'uproar', 'water pulse']"
"Kanto Leader Misty",1,ability,"Poliwhirl","","drizzle"
"Kanto Leader Misty",1,moves,"Poliwhirl","[]","['drain punch', 'fake out', 'mud bomb', 'water pulse']"
"Kanto Leader Misty",2,ability,"Togetic","","friend guard"
"Kanto Leader Misty",2,moves,"Togetic","[]","['air cutter', 'disarming voice', 'roost', 'water pulse']"
"Kanto Leader Misty",3,ability,"Azumarill","","sap sipper"
"Kanto Leader Misty",3,moves,"Azumarill","[]","['brine', 'dizzy punch', 'secret power', 'work up']"
"Kanto Leader Misty",4,ability,"Corsola","","water absorb"
"Kanto Leader Misty",4,moves,"Corsola","[]","['barb barrage', 'barrage', 'recover', 'rock blast']"
"Kanto Leader Sabrina",0,ability,"Hypno","","bad dreams"
"Kanto Leader Sabrina",0,moves,"Hypno","[]","['dark void', 'dream eater', 'parting shot', 'sludge wave']"
"Kanto Leader Sabrina",1,ability,"Banette","","hustle"
"Kanto Leader Sabrina",1,moves,"Banette","[]","['crush claw', 'play rough', 'pursuit', 'shadow force']"
"Kanto Leader Sabrina",2,ability,"Sigilyph","","magic guard"
"Kanto Leader Sabrina",2,moves,"Sigilyph","[]","['aeroblast', 'none', 'psychic']"
"Kanto Leader Sabrina",3,ability,"Musharna","","bad dreams"
"Kanto Leader Sabrina",3,moves,"Musharna","[]","['cosmic power', 'fairy wind', 'moonlight', 'stored power']"
"Kanto Leader Sabrina",4,ability,"Marowak","","quick draw"
"Kanto Leader Sabrina",4,moves,"Marowak","[]","['drill run', 'focus punch', 'phantom strike', 'temper flare']"
"Kanto Leader Sabrina",5,ability,"Alakazam","","magic guard"
"Kanto Leader Sabrina",5,moves,"Alakazam","[]","['detect', 'focus blast', 'psychic', 'zap cannon']"
"Lady Colette",0,ability,"Gardevoir","","trace"
"Lady Colette",0,moves,"Gardevoir","[]","['calm mind', 'dazzling gleam', 'force palm', 'shock wave']"
"Lady Colette",1,ability,"Minun","","motor drive"
"Lady Colette",1,moves,"Minun","[]","['discharge', 'fake out', 'fire pledge', 'frost breath']"
"Lady Colette",2,ability,"Electrode","","reckless"
"Lady Colette",2,moves,"Electrode","[]","['discharge', 'energy ball', 'light screen', 'spin out']"
"Lady Colette",3,ability,"Raichu","","sheer force"
"Lady Colette",3,moves,"Raichu","[]","['discharge', 'focus punch', 'play rough', 'scorching sands']"
"Lady Lina",0,ability,"Lapras","","snow warning"
"Lady Lina",0,moves,"Lapras","[]","['aurora beam', 'body press', 'dragon breath', 'flip turn']"
"Lady Lina",1,ability,"Cinccino","","skill link"
"Lady Lina",1,moves,"Cinccino","[]","['double hit', 'double slap', 'feint attack', 'u-turn']"
"Lady Lina",2,ability,"Altaria","","overcoat"
"Lady Lina",2,moves,"Altaria","[]","['bulldoze', 'cotton guard', 'dragon breath', 'draining kiss']"
"Lady Lina",3,ability,"Swanna","","serene grace"
"Lady Lina",3,moves,"Swanna","[]","['aurora beam', 'chatter', 'roost', 'scald']"
"Lass Daya",0,ability,"Pidgeotto","","quick feet"
"Lass Daya",0,moves,"Pidgeotto","[]","['attract', 'aurora beam', 'dual wingbeat', 'shock wave']"
"Lass Daya",1,ability,"Bayleef","","overgrow"
"Lass Daya",1,moves,"Bayleef","[]","['bullet seed', 'dazzling gleam', 'reflect', 'sweet scent']"
"Lass Daya",2,ability,"Nidorina","","sheer force"
"Lass Daya",2,moves,"Nidorina","[]","['body slam', 'captivate', 'pin missile', 'poison fang']"
"Lass Daya",3,ability,"Flaaffy","","illumination"
"Lass Daya",3,moves,"Flaaffy","[]","['breaking swipe', 'cotton guard', 'electroweb', 'sparkle']"
"Lass Daya",4,ability,"Gothorita","","patient"
"Lass Daya",4,moves,"Gothorita","[]","['fake out', 'protect', 'snarl', 'telekinesis']"
"Lass Isabel",0,ability,"Purrloin","","pickup"
"Lass Isabel",0,moves,"Purrloin","[]","['assist', 'charm', 'fury swipes', 'tail slap']"
"Lass Isabel",1,ability,"Igglybuff","","aerilate"
"Lass Isabel",1,moves,"Igglybuff","[]","['heart stamp', 'metronome', 'swift', 'work up']"
"Lass Isabel",2,ability,"Marill","","huge power"
"Lass Isabel",2,moves,"Marill","[]","['chilling water', 'disarming voice', 'metronome', 'tackle']"
"Lass Molly",0,ability,"Cleffa","","magic guard"
"Lass Molly",0,moves,"Cleffa","[]","['disarming voice', 'magical leaf', 'metronome', 'water pulse']"
"Lass Molly",1,ability,"Smoochum","","dry skin"
"Lass Molly",1,moves,"Smoochum","[]","['captivate', 'confusion', 'fake out', 'icy wind']"
"Lass Molly",2,ability,"Torchic","","speed boost"
"Lass Molly",2,moves,"Torchic","[]","['detect', 'flame wheel', 'mud-slap', 'pluck']"
"Lass Molly",3,ability,"Budew","","serene grace"
"Lass Molly",3,moves,"Budew","[]","['absorb', 'acid spray', 'leech seed', 'stun spore']"
"Lass Serena",0,ability,"Meowth","","technician"
"Lass Serena",0,moves,"Meowth","[]","['fake out', 'metal sound', 'pursuit', 'swift']"
"Lass Serena",1,ability,"Snubbull","","intimidate"
"Lass Serena",1,moves,"Snubbull","[]","['attract', 'covet', 'low sweep', 'secret power']"
"Lass Serena",2,ability,"Gothita","","patient"
"Lass Serena",2,moves,"Gothita","[]","['disarming voice', 'fake out', 'snarl', 'telekinesis']"
"Lass Serena",3,ability,"Staravia","","intimidate"
"Lass Serena",3,moves,"Staravia","[]","['karate chop', 'pluck', 'quick attack', 'secret power']"
"Leader Burgh",0,ability,"Kingler","","sheer force"
"Leader Burgh",0,moves,"Kingler","[]","['natural gift', 'razor shell', 'rock slide', 'skitter smack']"
"Leader Burgh",1,ability,"Galvantula","","serious"
"Leader Burgh",1,moves,"Galvantula","[]","['electroweb', 'icy wind', 'sticky web', 'struggle bug']"
"Leader Burgh",2,ability,"Escavalier","","sassy"
"Leader Burgh",2,moves,"Escavalier","[]","['1st impression', 'lunge', 'metal claw', 'natural gift']"
"Leader Burgh",3,ability,"Gliscor","","poison heal"
"Leader Burgh",3,moves,"Gliscor","[]","['aerial ace', 'bone club', 'lunge', 'tailwind']"
"Leader Burgh",4,ability,"Omastar","","weak armor"
"Leader Burgh",4,moves,"Omastar","[]","['ancient power', 'brine', 'icy wind', 'signal beam']"
"Leader Burgh",5,ability,"Leavanny","","overcoat"
"Leader Burgh",5,moves,"Leavanny","[]","['double kick', 'helping hand', 'leaf blade', 'return']"
"Leader Cheren",0,ability,"Skitty","","hustle"
"Leader Cheren",0,moves,"Skitty","[]","['covet', 'fake out', 'secret power', 'work up']"
"Leader Cheren",1,ability,"Oshawott","","defiant"
"Leader Cheren",1,moves,"Oshawott","[]","['aqua jet', 'rock smash', 'secret power', 'surf']"
"Leader Cheren",2,ability,"Snivy","","adaptability"
"Leader Cheren",2,moves,"Snivy","[]","['leaf blade', 'secret power', 'shock wave', 'work up']"
"Leader Cheren",3,ability,"Tepig","","sheer force"
"Leader Cheren",3,moves,"Tepig","[]","['bite', 'flamethrower', 'secret power', 'stomp']"
"Leader Cheren",4,ability,"Herdier","","intimidate"
"Leader Cheren",4,moves,"Herdier","[]","['lick', 'quick attack', 'secret power', 'work up']"
"Leader Clay",0,ability,"Dugtrio","","sand force"
"Leader Clay",0,moves,"Dugtrio","[]","['close combat', 'earthquake', 'iron head', 'stone edge']"
"Leader Clay",1,ability,"Electrode","","aftermath"
"Leader Clay",1,moves,"Electrode","[]","['double-edge', 'explosion', 'flash cannon', 'volt tackle']"
"Leader Clay",2,ability,"Armaldo","","battle armor"
"Leader Clay",2,moves,"Armaldo","[]","['aqua tail', 'leech life', 'power whip', 'rock climb']"
"Leader Clay",3,ability,"Rhydon","","solid rock"
"Leader Clay",3,moves,"Rhydon","[]","['brick break', 'drill run', 'horn drill', 'lunge']"
"Leader Clay",4,ability,"Conkeldurr","","hasty"
"Leader Clay",4,moves,"Conkeldurr","[]","['earthquake', 'head smash', 'slack off', 'superpower']"
"Leader Clay",5,ability,"Excadrill","","sand rush"
"Leader Clay",5,moves,"Excadrill","[]","['earthquake', 'iron head', 'rock climb', 'steamroller']"
"Leader Elesa",0,ability,"Plusle","","plus"
"Leader Elesa",0,moves,"Plusle","[]","['dazzling gleam', 'fire pledge', 'grass pledge', 'hyper voice']"
"Leader Elesa",1,ability,"Minun","","minus"
"Leader Elesa",1,moves,"Minun","[]","['fake out', 'glaciate', 'psychic noise', 'water pledge']"
"Leader Elesa",2,ability,"Glaceon","","permafrost"
"Leader Elesa",2,moves,"Glaceon","[]","['aurora beam', 'charge beam', 'extrasensory', 'light screen']"
"Leader Elesa",3,ability,"Milotic","","marvel scale"
"Leader Elesa",3,moves,"Milotic","[]","['draining kiss', 'follow me', 'natural gift', 'scald']"
"Leader Elesa",4,ability,"Lopunny","","hustle"
"Leader Elesa",4,moves,"Lopunny","[]","['retaliate', 'shadow punch', 'thunder punch', 'vital throw']"
"Leader Elesa",5,ability,"Zebstrika","","determined"
"Leader Elesa",5,moves,"Zebstrika","[]","['close combat', 'night daze', 'thrash', 'zap cannon']"
"Leader Roxie",0,ability,"Qwilfish","","intimidate"
"Leader Roxie",0,moves,"Qwilfish","[]","['flail', 'scald', 'toxic spikes', 'venoshock']"
"Leader Roxie",1,ability,"Loudred","","scrappy"
"Leader Roxie",1,moves,"Loudred","[]","['none', 'uproar']"
"Leader Roxie",2,ability,"Rotom","","levitate"
"Leader Roxie",2,moves,"Rotom","[]","['electroweb', 'hex', 'telekinesis', 'thunder wave']"
"Leader Roxie",3,ability,"Koffing","","levitate"
"Leader Roxie",3,moves,"Koffing","[]","['gyro ball', 'infernal parade', 'smog', 'will-o-wisp']"
"Leader Roxie",4,ability,"Mightyena","","intimidate"
"Leader Roxie",4,moves,"Mightyena","[]","['beat up', 'hyper voice', 'poison fang', 'pursuit']"
"Leader Roxie",5,ability,"Whirlipede","","rash"
"Leader Roxie",5,moves,"Whirlipede","[]","['barb barrage', 'heal order', 'twineedle', 'u-turn']"
"Leader Skyla",0,ability,"Empoleon","","lightning rod"
"Leader Skyla",0,moves,"Empoleon","[]","['blizzard', 'earth power', 'flash cannon', 'muddy water']"
"Leader Skyla",1,ability,"Staraptor","","reckless"
"Leader Skyla",1,moves,"Staraptor","[]","['brave bird', 'double-edge', 'superpower', 'u-turn']"
"Leader Skyla",2,ability,"Skarmory","","tenacity"
"Leader Skyla",2,moves,"Skarmory","[]","['dual wingbeat', 'earthquake', 'natural gift', 'steel wing']"
"Leader Skyla",3,ability,"Archeops","","intimidate"
"Leader Skyla",3,moves,"Archeops","[]","['head smash', 'heat wave', 'hurricane', 'substitute']"
"Leader Skyla",4,ability,"Blaziken","","determined"
"Leader Skyla",4,moves,"Blaziken","[]","['brave bird', 'close combat', 'earthquake', 'overheat']"
"Leader Skyla",5,ability,"Swanna","","serene grace"
"Leader Skyla",5,moves,"Swanna","[]","['blizzard', 'detect', 'hurricane', 'scald']"
"Motorcyclist Charles2",0,ability,"Yanmega","","tenacity"
"Motorcyclist Charles2",0,moves,"Yanmega","[]","['air slash', 'bug buzz']"
"Motorcyclist Charles2",1,ability,"Basculin","","modest"
"Motorcyclist Charles2",1,moves,"Basculin","[]","['ice beam', 'muddy water', 'ominous wind', 'strength']"
"Motorcyclist Charles2",2,ability,"Krookodile","","careful"
"Motorcyclist Charles2",2,moves,"Krookodile","[]","['crunch', 'fire fang', 'high horsepower', 'rock climb']"
"Motorcyclist Charles2",3,ability,"Machamp","","no guard"
"Motorcyclist Charles2",3,moves,"Machamp","[]","['cross chop', 'ice punch', 'play rough', 'stone edge']"
"Motorcyclist Charles2",4,ability,"Arbok","","sheer force"
"Motorcyclist Charles2",4,moves,"Arbok","[]","['cross poison', 'crunch', 'dragon rush', 'strength']"
"Musician Preston",0,ability,"Maractus","","heatproof"
"Musician Preston",0,moves,"Maractus","[]","['fiery dance', 'hyper voice', 'mud bomb', 'petal dance']"
"Musician Preston",1,ability,"Chatot","","amplifier"
"Musician Preston",1,moves,"Chatot","[]","['chatter', 'hyper voice', 'psychic noise', 'torment']"
"Musician Preston",2,ability,"Feraligatr","","careful"
"Musician Preston",2,moves,"Feraligatr","[]","['dragon claw', 'earthquake', 'muddy water', 'rock slide']"
"Musician Preston",3,ability,"Kricketune","","docile"
"Musician Preston",3,moves,"Kricketune","[]","['acrobatics', 'mud bomb', 'poison jab', 'shadow ball']"
"Nursery Aide Hollie",0,ability,"Igglybuff","","magic bounce"
"Nursery Aide Hollie",0,moves,"Igglybuff","[]","['double slap', 'flamethrower', 'hyper voice', 'thunderbolt']"
"Nursery Aide Hollie",1,ability,"Miltank","","scrappy"
"Nursery Aide Hollie",1,moves,"Miltank","[]","['body slam', 'captivate', 'charm', 'helping hand']"
"Nursery Aide Hollie",2,ability,"Pichu","","thunder armor"
"Nursery Aide Hollie",2,moves,"Pichu","[]","['discharge', 'draining kiss', 'fake out', 'surf']"
"Nursery Aide Hollie",3,ability,"Cleffa","","friend guard"
"Nursery Aide Hollie",3,moves,"Cleffa","[]","['meteor mash', 'milk drink', 'moonblast', 'psychic']"
"Nursery Aide Kimya",0,ability,"Luvdisc","","water absorb"
"Nursery Aide Kimya",0,moves,"Luvdisc","[]","['charm', 'chilling water', 'disarming voice', 'flip turn']"
"Nursery Aide Kimya",1,ability,"Pikachu","","galvanize"
"Nursery Aide Kimya",1,moves,"Pikachu","[]","['draining kiss', 'grass knot', 'shock wave', 'swift']"
"Nursery Aide Kimya",2,ability,"Combee","","swarm"
"Nursery Aide Kimya",2,moves,"Combee","[]","['air cutter', 'barb barrage', 'sparkle', 'struggle bug']"
"Nursery Aide Kimya",3,ability,"Munchlax","","thick fat"
"Nursery Aide Kimya",3,moves,"Munchlax","[]","['flamethrower', 'headbutt', 'ice beam', 'thunderbolt']"
"Nursery Aide Kimya",4,ability,"Grotle","","solid rock"
"Nursery Aide Kimya",4,moves,"Grotle","[]","['bulldoze', 'ingrain', 'rock tomb', 'synthesis']"
"Nursery Aide Lenora",0,ability,"Stoutland","","intimidate"
"Nursery Aide Lenora",0,moves,"Stoutland","[]","['crunch', 'headbutt', 'slack off', 'yawn']"
"Nursery Aide Lenora",1,ability,"Wigglytuff","","timid"
"Nursery Aide Lenora",1,moves,"Wigglytuff","[]","['double slap', 'flamethrower', 'ice beam', 'retaliate']"
"Nursery Aide Lenora",2,ability,"Bastiodon","","determined"
"Nursery Aide Lenora",2,moves,"Bastiodon","[]","['double-edge', 'endure', 'head smash', 'natural gift']"
"Nursery Aide Lenora",3,ability,"Watchog","","stakeout"
"Nursery Aide Lenora",3,moves,"Watchog","[]","['hypnosis', 'retaliate', 'strength', 'thrash']"
"Parasol Lady Nicole",0,ability,"Luvdisc","","friend guard"
"Parasol Lady Nicole",0,moves,"Luvdisc","[]","['hydro cannon', 'lovely kiss', 'moonblast', 'u-turn']"
"Parasol Lady Nicole",1,ability,"Carnivine","","patient"
"Parasol Lady Nicole",1,moves,"Carnivine","[]","['ingrain', 'iron head', 'scary face', 'weather ball']"
"Parasol Lady Nicole",2,ability,"Seismitoad","","impish"
"Parasol Lady Nicole",2,moves,"Seismitoad","[]","['drain punch', 'mud bomb', 'muddy water', 'poison jab']"
"Parasol Lady Nicole",3,ability,"Castform","","forecast"
"Parasol Lady Nicole",3,moves,"Castform","[]","['air slash', 'aurora beam', 'scald', 'thunderbolt']"
"Parasol Lady Nicole",4,ability,"Lumineon","","swift swim"
"Parasol Lady Nicole",4,moves,"Lumineon","[]","['dazzling gleam', 'ice beam', 'thunder', 'weather ball']"
"Parasol Lady Tihana",0,ability,"Masquerain","","serious"
"Parasol Lady Tihana",0,moves,"Masquerain","[]","['energy ball', 'quiver dance', 'scald', 'silver wind']"
"Parasol Lady Tihana",1,ability,"Seadra","","sniper"
"Parasol Lady Tihana",1,moves,"Seadra","[]","['flip turn', 'octazooka', 'outrage', 'seething cold']"
"Parasol Lady Tihana",2,ability,"Wailord","","truant"
"Parasol Lady Tihana",2,moves,"Wailord","[]","['hyper voice', 'surf', 'water spout', 'yawn']"
"Parasol Lady Tihana",3,ability,"Dewgong","","swift swim"
"Parasol Lady Tihana",3,moves,"Dewgong","[]","['freeze-dry', 'ice beam', 'supersonic', 'surf']"
"Pilot Chase",0,ability,"Emolga","","wind rider"
"Pilot Chase",0,moves,"Emolga","[]","['acrobatics', 'charm', 'u-turn', 'volt tackle']"
"Pilot Chase",1,ability,"Drifblim","","aerilate"
"Pilot Chase",1,moves,"Drifblim","[]","['double-edge', 'explosion', 'substitute', 'u-turn']"
"Pilot Chase",2,ability,"Charizard","","levitate"
"Pilot Chase",2,moves,"Charizard","[]","['acrobatics', 'dragon rush', 'earthquake', 'flare blitz']"
"Pilot Chase",3,ability,"Togekiss","","serene grace"
"Pilot Chase",3,moves,"Togekiss","[]","['air slash', 'ancient power', 'aura sphere', 'roost']"
"Pilot Chase",4,ability,"Machamp","","no guard"
"Pilot Chase",4,moves,"Machamp","[]","['bullet punch', 'dynamic punch', 'knock off', 'stone edge']"
"Pilot Chase",5,ability,"Braviary","","hustle"
"Pilot Chase",5,moves,"Braviary","[]","['crush claw', 'fly', 'rock slide', 'superpower']"
"Pilot Elron",0,ability,"Pidgeot","","no guard"
"Pilot Elron",0,moves,"Pidgeot","[]","['blizzard', 'feather dance', 'hurricane', 'roost']"
"Pilot Elron",1,ability,"Electrode","","reckless"
"Pilot Elron",1,moves,"Electrode","[]","['electro ball', 'magnet rise', 'spin out', 'superpower']"
"Pilot Elron",2,ability,"Mandibuzz","","rough skin"
"Pilot Elron",2,moves,"Mandibuzz","[]","['bone rush', 'knock off', 'razor winds', 'rock blast']"
"Pilot Elron",3,ability,"Glalie","","levitate"
"Pilot Elron",3,moves,"Glalie","[]","['earthquake', 'rock wrecker', 'switcheroo', 'triple axel']"
"Pilot Elron",4,ability,"Pelipper","","torrent"
"Pilot Elron",4,moves,"Pelipper","[]","['hurricane', 'hydro pump', 'ice beam', 'water spout']"
"Pilot Ewing",0,ability,"Claydol","","levitate"
