	Pokémon	Abil 1		Abil 2		Abil 3 (HA)		Abil 4 (AI Only)		Abil 5 (AI Only)		Abil 6 (AI Only)	
292	Shedinja	Sturdy		Magic Guard		Magic Guard		Stakeout		Sniper		Wonder Guard	
293	Whismur	Scrappy		Amplifier		Rattled		Moody		Anger Point		Anger Point	
294	Loudred	Scrappy		Amplifier		Berserk		Moody		Anger Point		Anger Point	
295	Exploud	Scrappy		Amplifier		Berserk		Moody		Anger Point		Anger Point	
296	Makuhita	Thick Fat		Sheer Force		Guts		Scrappy		Scrappy		Scrappy	
297	Hariyama	Thick Fat		Sheer Force		Guts		Scrappy		Scrappy		Scrappy	
299	Nosepass	Magnet Pull		Static		Sand Force		Sand Stream		Sand Stream		Sand Stream	
476	Probopass	Levitate		Sturdy		Sand Force		Sand Stream		Sand Stream		Sand Stream	
300	Skitty	Normalize		Hustle		Magic Guard		Moody		Fur Coat		Fur Coat	
301	Delcatty	Normalize		Hustle		Magic Guard		Moody		Fur Coat		Fur Coat	
302	Sableye	Magic Bounce		Hyper Cutter		Exploit		Stakeout		Shadow Tag		Shadow Tag	
303	Mawile	Intimidate		Sheer Force		Distracting		Huge Power		Arena Trap		Arena Trap	
304	Aron	Determined		Sturdy		Filter		?		?		?	
305	Lairon	Determined		Sturdy		Filter		?		?		?	
306	Aggron	Determined		Sturdy		Filter		?		?		?	
307	Meditite	Huge Power		Huge Power		Huge Power		?		?		?	
308	Medicham	Huge Power		Huge Power		Huge Power		?		?		?	
309	Electrike	Intimidate		Static		Thunder Armor		Plus		Minus		Minus	
310	Manectric	Intimidate		Strong Jaw		Thunder Armor		Plus		Minus		Minus	
311	Plusle	Volt Absorb		Friend Guard		Friend Guard		Plus		Minus		Minus	
312	Minun	Motor Drive		Distracting		Distracting		Minus		Plus		Plus	
313	Volbeat	Illumination		Prankster		Magic Guard		Plus		Minus		Minus	
314	Illumise	Tenacity		Pixilate		Magic Guard		Minus		Plus		Plus	
406	Budew	Serene Grace		Natural Cure		Chlorophyll		?		?		?	
315	Roselia	Serene Grace		Natural Cure		Chlorophyll		?		?		?	
407	Roserade	Serene Grace		Majestic Ward		Chlorophyll		?		?		?	
316	Gulpin	Gooey		Corrosion		Gourmand		Stench		Stench		Stench	
317	Swalot	Gooey		Corrosion		Gourmand		Stench		Stench		Stench	
318	Carvanha	Speed Boost		Strong Jaw		Unnerve		Drizzle		Drizzle		Drizzle	
319	Sharpedo	Speed Boost		Strong Jaw		Unnerve		Drizzle		Drizzle		Drizzle	
320	Wailmer	Moisturize		Moisturize		Moisturize		Drizzle		Drizzle		Drizzle	
321	Wailord	Truant		Truant		Truant		Drizzle		Moisturize		Colossal	
322	Numel	Sheer Force		Resilient		Solid Rock		Aftermath		Simple		Drought	
323	Camerupt	Sheer Force		Resilient		Solid Rock		Aftermath		Simple		Drought	
324	Torkoal	Shell Armor		Shell Armor		Shell Armor		Aftermath		Simple		Drought	
325	Spoink	Hustle		Thick Fat		Magic Guard		Moody		Trace		Trace	
326	Grumpig	Hustle		Thick Fat		Magic Guard		Moody		Trace		Trace	
327	Spinda	Hustle		Contrary		Scrappy		Moody		Moody		Moody	
328	Trapinch	Sheer Force		Hyper Cutter		Arena Trap		Sand Stream		Sand Rush		Sand Veil	
329	Vibrava	Tenacity		Keen Senses		Amplifier		Sand Stream		Sand Rush		Sand Veil	
330	Flygon	Tenacity		Keen Senses		Amplifier		Sand Stream		Sand Rush		Sand Veil	
331	Cacnea	Water Absorb		Sand Rush		Sand Rush		Stakeout		Sand Veil		Sand Veil	
332	Cacturne	Water Absorb		Sand Rush		Sand Rush		Stakeout		Sand Veil		Sand Veil	
333	Swablu	Natural Cure		Pixilate		Cloud Nine		Fluffy		Overcoat		Overcoat	
334	Altaria	Levitate		Pixilate		Cloud Nine		Fluffy		Overcoat		Overcoat	
335	Zangoose	Toxic Boost		Poison Heal		Merciless		?		?		?	
336	Seviper	Infiltrator		Strong Jaw		Exploit		?		?		?	
337	Lunatone	Levitate		Solid Rock		Magic Bounce		Sand Stream		Wonder Guard		Wonder Guard	
338	Solrock	Levitate		Solar Power		Chlorophyll		Drought		Wonder Guard		Wonder Guard	
339	Barboach	Adaptability		Moisturize		Gourmand		Drizzle		Sand Stream		Sand Stream	
340	Whiscash	Adaptability		Moisturize		Gourmand		Drizzle		Sand Stream		Sand Stream	
341	Corphish	Adaptability		Shell Armor		Weak Armor		Drizzle		Drizzle		Drizzle	
342	Crawdaunt	Adaptability		Shell Armor		Weak Armor		Drizzle		Drizzle		Drizzle	
343	Baltoy	Levitate		Well-Baked Body		Heavy Metal		Sand Stream		Speed Boost		Arena Trap	
344	Claydol	Levitate		Well-Baked Body		Heavy Metal		Sand Stream		Speed Boost		Arena Trap	
345	Lileep	Storm Drain		Patient		Poison Heal		Sand Stream		Stakeout		Sand Veil	
346	Cradily	Storm Drain		Patient		Poison Heal		Sand Stream		Stakeout		Sand Veil	
347	Anorith	Battle Armor		Weak Armor		Water Absorb		Swift Swim		Sand Stream		Sand Veil	
348	Armaldo	Battle Armor		Weak Armor		Water Absorb		Swift Swim		Sand Stream		Sand Veil	
349	Feebas	Adaptability		Swift Swim		Rain Dish		Drizzle		Serene Grace		Serene Grace	
350	Milotic	Shed Skin		Marvel Scale		Majestic Ward		Drizzle		Serene Grace		Serene Grace	
351	Castform	Forecast		Aerilate		Cloud Nine		?		?		?	
698	Castform-Rainy	Forecast		Rain Dish		Cloud Nine		?		?		?	
699	Castform-Snowy	Forecast		Ice Body		Cloud Nine		?		?		?	
697	Castform-Sunny	Forecast		Solar Power		Cloud Nine		?		?		?	
352	Kecleon	Adaptability		Shed Skin		Savant		Shadow Tag		Anticipation		Illusion	
353	Shuppet	Prankster		Hustle		Levitate		Shadow Tag		Anticipation		Illusion	
354	Banette	Prankster		Hustle		Anger Point		Shadow Tag		Anticipation		Illusion	
355	Duskull	Pressure		Levitate		Levitate		Shadow Tag		Anticipation		Illusion	
356	Dusclops	Iron Fist		Cursed Body		Cursed Body		Shadow Tag		Anticipation		Illusion	
477	Dusknoir	Patient		Forewarn		Forewarn		Shadow Tag		Anticipation		Illusion	
357	Tropius	Overgrow		Gourmand		Chlorophyll		?		?		?	
433	Chingling	Levitate		Pixilate		Pixilate		?		?		?	
358	Chimecho	Levitate		Pixilate		Pixilate		?		?		?	
359	Absol	Justified		Forewarn		Tough Claws		Anticipation		Stakeout		Sniper	
361	Snorunt	Inner Focus		Ice Body		Rattled		Sturdy		Moody		Snow Warning	
362	Glalie	Levitate		Refrigerate		Determined		Sturdy		Moody		Aftermath	
478	Froslass	Levitate		Ice Body		Serene Grace		Snow Cloak		Snow Warning		Illusion	
363	Spheal	Ice Body		Resilient		Thick Fat		Snow Warning		Snow Cloak		Fur Coat	
364	Sealeo	Ice Body		Resilient		Thick Fat		Snow Warning		Snow Cloak		Fur Coat	
365	Walrein	Ice Body		Resilient		Thick Fat		Snow Warning		Snow Cloak		Fur Coat	
366	Clamperl	Shell Armor		Battle Armor		Torrent		Drizzle		Drizzle		Drizzle	
367	Huntail	Illumination		Shell Armor		Volt Absorb		Drizzle		Swift Swim		Swift Swim	
368	Gorebyss	Shell Armor		Corrosion		Majestic Ward		Drizzle		Swift Swim		Swift Swim	
369	Relicanth	Battle Armor		Determined		Swift Swim		Sand Stream		Drizzle		Drizzle	
370	Luvdisc	Friend Guard		Water Absorb		Swift Swim		Drizzle		Drizzle		Drizzle	
371	Bagon	Sheer Force		Hustle		Determined		Moxie		Aerilate		Aerilate	
372	Shelgon	Shell Armor		Strong Body		Solid Rock		Moxie		Aerilate		Aerilate	
373	Salamence	Intimidate		Berserk		Determined		Moxie		Aerilate		Aerilate	
374	Beldum	Tough Claws		Strong Body		Light Metal		Speed Boost		Heavy Metal		Heavy Metal	
375	Metang	Tough Claws		Strong Body		Light Metal		Speed Boost		Heavy Metal		Heavy Metal	
376	Metagross	Tough Claws		Strong Body		Light Metal		Speed Boost		Heavy Metal		Heavy Metal	
377	Regirock	Regenerator		Regenerator		Solid Rock		?		?		?	
378	Regice	Heatproof		Heatproof		Ice Body		?		?		?	
379	Registeel	Well Baked Body		Well Baked Body		Heavy Metal		?		?		?	
380	Latios	Levitate		Levitate		Levitate		?		?		?	
381	Latias	Levitate		Levitate		Levitate		?		?		?	
382	Kyogre	Drizzle		Drizzle		Drizzle		?		?		?	
383	Groudon	Drought		Drought		Drought		?		?		?	
384	Rayquaza	Cloud Nine		Cloud Nine		Cloud Nine		?		?		?	
385	Jirachi	Serene Grace		Serene Grace		Serene Grace		?		?		?	
386	Deoxys	Infiltrator		Infiltrator		Infiltrator		?		?		?	
387	Turtwig	Shell Armor		Overgrow		Solid Rock		Sturdy		Thick Fat		Intimidate	
388	Grotle	Shell Armor		Overgrow		Solid Rock		Sturdy		Thick Fat		Intimidate	
389	Torterra	Shell Armor		Determined		Solid Rock		Sturdy		Thick Fat		Intimidate	
390	Chimchar	Iron Fist		Blaze		Flame Body		Drought		Anticipation		Anticipation	
391	Monferno	Iron Fist		Blaze		Flame Body		Drought		Anticipation		Anticipation	
392	Infernape	Iron Fist		Blaze		Exploit		Drought		Anticipation		Anticipation	
393	Piplup	Rivalry		Torrent		Slush Rush		Lightningrod		Drizzle		Snow Cloak	
394	Prinplup	Rivalry		Torrent		Slush Rush		Lightningrod		Drizzle		Snow Cloak	
395	Empoleon	Rivalry		Torrent		Slush Rush		Lightningrod		Drizzle		Snow Cloak	
396	Starly	Intimidate		Reckless		Reckless		Hustle		Hustle		Hustle	
397	Staravia	Intimidate		Reckless		Reckless		Hustle		Hustle		Hustle	
398	Staraptor	Intimidate		Reckless		Reckless		Hustle		Hustle		Hustle	
399	Bidoof	Huge Power		Huge Power		Huge Power		Simple		Simple		Simple	
400	Bibarel	Huge Power		Huge Power		Huge Power		Simple		Simple		Simple	
401	Kricketot	Amplifier		Technician		Savant		?		?		?	
402	Kricketune	Amplifier		Technician		Savant		?		?		?	
403	Shinx	Intimidate		Guts		Rivalry		Stakeout		Plus		Minus	
404	Luxio	Intimidate		Guts		Rivalry		Stakeout		Plus		Minus	
405	Luxray	Intimidate		Guts		Rivalry		Stakeout		Plus		Minus	
408	Cranidos	Mold Breaker		Resilient		Sheer Force		Sand Stream		Sturdy		Sand Rush	
409	Rampardos	Mold Breaker		Resilient		Sheer Force		Sand Stream		Sturdy		Sand Rush	
410	Shieldon	Determined		Battle Armor		Bulletproof		Sand Stream		Sturdy		Solid Rock	
411	Bastiodon	Determined		Battle Armor		Bulletproof		Sand Stream		Sturdy		Solid Rock	
412	Burmy	Run Away		Swarm		Overcoat		Anticipation		Sturdy		Sturdy	
413	Wormadam	Battle Armor		Battle Armor		Overcoat		Anticipation		Sturdy		Sturdy	
688	Wormadam-Sandy	Battle Armor		Battle Armor		Overcoat		Anticipation		Sturdy		Sturdy	
689	Wormadam-Trash	Battle Armor		Battle Armor		Overcoat		Anticipation		Sturdy		Sturdy	
414	Mothim	Pickpocket		Tenacity		Wind Rider		Anticipation		Anticipation		Anticipation	
415	Combee	Swarm		Friend Guard		Hustle		Intimidate		Intimidate		Intimidate	
416	Vespiquen	Unnerve		Majestic Ward		Filter		Intimidate		Intimidate		Intimidate	
417	Pachirisu	Prankster		Pickup		Run Away		Plus		Minus		Fur Coat	
418	Buizel	Reckless		Technician		Swift Swim		Drizzle		Drizzle		Drizzle	
419	Floatzel	Reckless		Technician		Swift Swim		Drizzle		Drizzle		Drizzle	
420	Cherubi	Chlorophyll		Chlorophyll		Chlorophyll		?		?		?	
421	Cherrim	Flower Gift		Flower Gift		Flower Gift		?		?		?	
422	Shellos 	Storm Drain		Sand Force		Sand Force		Drizzle		Sand Stream		Sand Stream	
423	Gastrodon	Storm Drain		Sand Force		Sand Force		Drizzle		Sand Stream		Sand Stream	
652	Shellos-East	Sap Sipper		Gooey		Gooey		Drizzle		Sand Stream		Sand Stream	
653	Gastrodon-East	Sap Sipper		Gooey		Gooey		Drizzle		Sand Stream		Sand Stream	
425	Drifloon	Flare Boost		Unburden		Aerilate		Aftermath		Wind Rider		Lightning Rod	
426	Drifblim	Flare Boost		Unburden		Aerilate		Aftermath		Wind Rider		Lightning Rod	
427	Buneary	Scrappy		Hustle		Fluffy		Moody		Fluffy		Fluffy	
428	Lopunny	Scrappy		Hustle		Fluffy		Moody		Fluffy		Fluffy	
431	Glameow	Majestic Ward		Wonder Skin		Run Away		Moody		Anticipation		Anticipation	
432	Purugly	Skill Link		Defiant		Thick Fat		Moody		Anticipation		Anticipation	
434	Stunky	Flare Boost		Neutralizing Gas		Intimidate		Aftermath		Stench		Quick Draw	
435	Skuntank	Flare Boost		Neutralizing Gas		Intimidate		Aftermath		Stench		Quick Draw	
436	Bronzor	Levitate		Heatproof		Heavy Metal		Drizzle		Drizzle		Drizzle	
437	Bronzong	Levitate		Heatproof		Heavy Metal		Drizzle		Drizzle		Drizzle	
441	Chatot	Trace		Amplifier		Distracting		Moody		Moody		Moody	
442	Spiritomb	Merciless		Infiltrator		Magic Guard		Illusion		Shadow Tag		Prankster	
443	Gible	Rough Skin		Strong Body		Mold Breaker		Sand Veil		Sand Stream		Sand Force	
444	Gabite	Rough Skin		Strong Body		Mold Breaker		Sand Veil		Sand Stream		Sand Force	
445	Garchomp	Rough Skin		Strong Body		Mold Breaker		Sand Veil		Sand Stream		Sand Force	
447	Riolu	Prankster		Scrappy		Adaptability		?		?		?	
448	Lucario	Trace		Skill Link		Exploit		?		?		?	
449	Hippopotas	Rough Skin		Strong Jaw		Intimidate		Sand Veil		Sand Stream		Sand Stream	
450	Hippowdon	Rough Skin		Strong Jaw		Intimidate		Sand Veil		Sand Stream		Sand Stream	
451	Skorupi	Battle Armor		Tough Claws		Sniper		?		?		?	
452	Drapion	Battle Armor		Tough Claws		Sniper		?		?		?	
453	Croagunk	Dry Skin		Exploit		Exploit		Swift Swim		Anticipation		Anticipation	
454	Toxicroak	Dry Skin		Exploit		Exploit		Swift Swim		Anticipation		Anticipation	
455	Carnivine	Levitate		Patient		Strong Jaw		Arena Trap		Stakeout		Stakeout	
456	Finneon	Swift Swim		Illumination		Storm Drain		Drizzle		Drizzle		Drizzle	
457	Lumineon	Swift Swim		Illumination		Storm Drain		Drizzle		Drizzle		Drizzle	
459	Snover	Ice Body		Resilient		Filter		Snow Warning		Slush Rush		Snow Cloak	
460	Abomasnow	Ice Body		Resilient		Filter		Snow Warning		Slush Rush		Snow Cloak	
479	Rotom	Levitate		Galvanize		Galvanize		Illusion		Plus		Shadow Tag	
695	Rotom-Fan	Motor Drive		Aerilate		Aerilate		Illusion		Plus		Shadow Tag	
693	Rotom-Wash	Levitate		Moisturize		Moisturize		Illusion		Plus		Shadow Tag	
694	Rotom-Frost	Levitate		Refrigerate		Refrigerate		Illusion		Plus		Shadow Tag	
692	Rotom-Heat	Levitate		Turboblaze		Turboblaze		Illusion		Plus		Shadow Tag	
696	Rotom-Mow	Levitate		Speed Boost		Speed Boost		Illusion		Plus		Shadow Tag	
480	Uxie	Levitate		Levitate		Levitate		?		?		?	
481	Mesprit	Levitate		Levitate		Levitate		?		?		?	
482	Azelf	Levitate		Levitate		Levitate		?		?		?	
483	Dialga	Patient		Patient		Patient		?		?		?	
484	Palkia	Marvel Scale		Marvel Scale		Marvel Scale		?		?		?	
485	Heatran	Flash Fire		Flash Fire		Flash Fire		?		?		?	
486	Regigias	Slow Start		Slow Start		Slow Start		?		?		?	
487	Giratina	Cursed Body		Cursed Body		Cursed Body		?		?		?	
691	Giratina-Origin	Levitate		Levitate		Levitate		?		?		?	
488	Cresselia	Levitate		Levitate		Levitate		?		?		?	
489	Phione	Moisturize		Moisturize		Moisturize		?		?		?	
490	Manaphy	Moisturize		Moisturize		Moisturize		?		?		?	
491	Darkrai	Bad Dreams		Bad Dreams		Bad Dreams		?		?		?	
492	Shaymin	Natural Cure		Natural Cure		Natural Cure		?		?		?	
690	Shaymin-Sky	Serene Grace		Serene Grace		Serene Grace		?		?		?	
493	Arceus	Multitype		Multitype		Multitype		?		?		?	
494	Victini	Illumination		Illumination		Illumination		Contrary		Contrary		Contrary	
495	Snivy	Adaptability		Adaptability		Contrary		Anticipation		Anticipation		Anticipation	
496	Servine	Adaptability		Adaptability		Contrary		Anticipation		Anticipation		Anticipation	
497	Serperior	Adaptability		Adaptability		Contrary		Anticipation		Anticipation		Anticipation	
498	Tepig	Intimidate		Intimidate		Sheer Force		Drought		Drought		Drought	
499	Pignite	Intimidate		Intimidate		Sheer Force		Drought		Drought		Drought	
500	Emboar	Intimidate		Intimidate		Determined		Drought		Drought		Drought	
501	Oshawott	Shell Armor		Shell Armor		Hyper Cutter		Drizzle		Quick Draw		Defiant	
502	Dewott	Shell Armor		Shell Armor		Hyper Cutter		Drizzle		Quick Draw		Defiant	
503	Samurott	Shell Armor		Shell Armor		Hyper Cutter		Drizzle		Quick Draw		Defiant	
504	Patrat	Illumination		Patient		Forewarn		Anticipation		Stakeout		Stakeout	
505	Watchog	Illumination		Patient		Forewarn		Anticipation		Stakeout		Stakeout	
506	Lillipup	Intimidate		Scrappy		Fluffy		Slush Rush		Scrappy		Sand Rush	
507	Herdier	Intimidate		Scrappy		Fluffy		Slush Rush		Scrappy		Sand Rush	
508	Stoutland	Intimidate		Scrappy		Fluffy		Slush Rush		Scrappy		Sand Rush	
509	Purrloin	Pickup		Exploit		Pickpocket		Moody		Prankster		Sniper	
510	Liepard	Pickup		Exploit		Pickpocket		Moody		Prankster		Sniper	
511	Pansage	Overgrow		Gluttony		Unburden		Anticipation		Anticipation		Anticipation	
512	Simisage	Overgrow		Gourmand		Unburden		Anticipation		Anticipation		Anticipation	
513	Pansear	Blaze		Gluttony		Unburden		Drought		Drought		Drought	
514	Simisear	Blaze		Gourmand		Unburden		Drought		Drought		Drought	
515	Panpour	Torrent		Gluttony		Unburden		Drizzle		Drizzle		Drizzle	
516	Simipour	Torrent		Gourmand		Unburden		Drizzle		Drizzle		Drizzle	
517	Munna	Forewarn		Magic Bounce		Vital Spirit		Trace		Bad Dreams		Illusion	
518	Musharna	Forewarn		Magic Bounce		Neutralizing Gas		Trace		Bad Dreams		Illusion	
519	Pidove	Rivalry		Resilient		Unburden		Sniper		Sniper		Sniper	
520	Tranquil	Rivalry		Resilient		Unburden		Sniper		Sniper		Sniper	
521	Unfezant	Rivalry		Resilient		Unburden		Sniper		Sniper		Sniper	
522	Blitzle	Sap Sipper		Lightning-Rod		Motor Drive		Plus		Minus		Minus	
523	Zebstrika	Sap Sipper		Reckless		Determined		Plus		Minus		Minus	
524	Roggenrola	Sturdy		Chlorophyll		Sand Force		Sand Stream		Drought		Aftermath	
525	Boldore	Sturdy		Chlorophyll		Sand Force		Sand Stream		Drought		Aftermath	
526	Gigalith	Sturdy		Chlorophyll		Sand Force		Sand Stream		Drought		Aftermath	
527	Woobat	Keen Senses		Amplifier		Friend Guard		Moody		Simple		Simple	
528	Swoobat	Keen Senses		Amplifier		Friend Guard		Moody		Simple		Simple	
529	Drilbur	Mold Breaker		Sand Force		Sturdy		Sand Veil		Sand Stream		Sand Rush	
530	Excadrill	Mold Breaker		Sand Force		Sturdy		Sand Veil		Sand Stream		Sand Rush	
531	Audino	Regenerator		Healer		Poison Heal		?		?		?	
532	Timburr	Guts		Iron Fist		Sheer Force		?		?		?	
533	Gurdurr	Guts		Iron Fist		Sheer Force		?		?		?	
534	Conkeldurr	Guts		Determined		Solid Rock		?		?		?	
535	Tympole	Gooey		Dry Skin		Swift Swim		Anticipation		Poison Touch		Poison Touch	
536	Palplitoad	Gooey		Dry Skin		Swift Swim		Anticipation		Poison Touch		Poison Touch	
537	Seismitoad	Gooey		Dry Skin		Swift Swim		Anticipation		Poison Touch		Poison Touch	
538	Throh	Patient		Rivalry		Mold Breaker		Anticipation		Strong Body		Strong Body	
539	Sawk	Sturdy		Quick Feet		Mold Breaker		Anticipation		Strong Body		Strong Body	
540	Sewaddle	Overcoat		Resilient		Swarm		Anticipation		Chlorophyll		Arena Trap	
541	Swadloon	Overcoat		Regenerator		Swarm		Anticipation		Chlorophyll		Arena Trap	
542	Leavanny	Overcoat		Regenerator		Savant (Protean)		Anticipation		Chlorophyll		Arena Trap	
543	Venipede	Speed Boost		Tenacity		Strong Body		Poison Touch		Poison Touch		Poison Touch	
544	Whirlipede	Speed Boost		Tenacity		Strong Body		Poison Touch		Poison Touch		Poison Touch	
545	Scolipede	Speed Boost		Tenacity		Strong Body		Poison Touch		Poison Touch		Poison Touch	
546	Cottonee	Prankster		Fluffy		Effect Spore		Wind Rider		Wind Rider		Wind Rider	
547	Whimsicott	Prankster		Fluffy		Merciless		Wind Rider		Wind Rider		Wind Rider	
548	Petilil	Chlorophyll		Overgrow		Quick Feet		?		?		?	
549	Lilligant	Chlorophyll		Overgrow		Quick Feet		?		?		?	
550	Basculin-RedStripe	Swift Swim		Adaptability		Mold Breaker		Drizzle		Drizzle		Drizzle	
700	Basculin-BlueStripe	Determined		Adaptability		Anger Point		Drizzle		Drizzle		Drizzle	
551	Sandile	Intimidate		Anger Point		Tenacity		Stakeout		Sand Stream		Anger Point	
552	Krokorok	Intimidate		Anger Point		Tenacity		Stakeout		Sand Stream		Anger Point	
553	Krookadile	Intimidate		Anger Point		Tenacity		Stakeout		Sand Stream		Anger Point	
554	Darumaka	Hustle		Flame Body		Vital Spirit		Drought		Run Away		Run Away	
555	Darmanitan	Sheer Force		Turboblaze		Inner Focus		Drought		Zen Mode		Zen Mode	
701	Darmanitan-Zen	Sheer Force		Solid Rock		Inner Focus		Sand Stream		Zen Mode		Zen Mode	
556	Maractus	Water Absorb		Heatproof		Sand Rush		Sand Veil		Chlorophyll		Sand Stream	
557	Dwebble	Shed Skin		Shell Armor		Solid Rock		Sand Stream		Weak Armor		Sturdy	
558	Crustle	Shed Skin		Shell Armor		Solid Rock		Sand Stream		Weak Armor		Sturdy	
559	Scraggy	Intimidate		Shed Skin		Bulletproof		Quick Draw		Moxie		Moxie	
560	Scrafty	Intimidate		Shed Skin		Bulletproof		Quick Draw		Moxie		Moxie	
561	Sigilyph	Magic Guard		Tenacity		Sand Rush		Illusion		Sand Veil		Sand Veil	
562	Yamask	Contagious		Sand Force		Cursed Body		Sand Stream		Illusion		Shadow Tag	
563	Cofagrigus	Contagious		Sand Force		Merciless		Sand Stream		Illusion		Shadow Tag	
564	Tirtouga	Solid Rock		Shell Armor		Swift Swim		Sand Stream		Drizzle		Sturdy	
565	Carracosta	Solid Rock		Shell Armor		Swift Swim		Sand Stream		Drizzle		Sturdy	
566	Archen	Unnerve		Vital Spirit		Quick Feet		Intimidate		Berserk		Hustle	
567	Archeops	Unnerve		Vital Spirit		Quick Feet		intimidate		Berserk		Hustle	
568	Trubbish	Rough Skin		Weak Armor		Contagious		Stench		Aftermath		Aftermath	
569	Garbodor	Rough Skin		Weak Armor		Contagious		Stench		Aftermath		Aftermath	
570	Zorua	Prankster		Infiltrator		Infiltrator		Stakeout		Illusion		Illusion	
571	Zoroark	Exploit		Infiltrator		Infiltrator		Stakeout		Illusion		Illusion	
572	Mincinno	Skill Link		Fur Coat		Fur Coat		Prankster		Prankster		Prankster	
573	Cincinno	Skill Link		Fur Coat		Fur Coat		Prankster		Prankster		Prankster	
574	Gothitta	Patient		Forewarn		Magic Bounce		Shadow Tag		Illusion		Anticipation	
575	Gothorita	Patient		Forewarn		Magic Bounce		Shadow Tag		Illusion		Anticipation	
576	Gothitelle	Patient		Forewarn		Magic Bounce		Shadow Tag		Illusion		Anticipation	
577	Solosis	Gooey		Magic Guard		Regenerator		Trace		Inner Focus		Inner Focus	
578	Duosion	Gooey		Magic Guard		Regenerator		Trace		Inner Focus		Inner Focus	
579	Reuniclus	Gooey		Magic Guard		Regenerator		Trace		Inner Focus		Inner Focus	
580	Ducklett	Keen Senses		Serene Grace		Rain Dish		Drizzle		Snow Cloak		Snow Cloak	
581	Swanna	Keen Senses		Serene Grace		Ice Body		Snow Warning		Snow Cloak		Snow Cloak	
582	Vanillite	Weak Armor		Ice Body		Refrigerate		Snow Warning		Snow Cloak		Aftermath	
583	Vanillish	Weak Armor		Ice Body		Refrigerate		Snow Warning		Snow Cloak		Aftermath	
584	Vanilluxe	Weak Armor		Ice Body		Refrigerate		Snow Warning		Snow Cloak		Aftermath	
585	Deerling	Sap Sipper		Chlorophyll		Serene Grace		?		?		?	
586	Sawsbuck	Majestic Ward		Chlorophyll		Serene Grace		?		?		?	
654	Sawsbuck-Summer	Sap Sipper		Rivalry		Reckless		?		?		?	
655	Sawsbuck-Autumn	Shed Skin		Resilient		Unaware		?		?		?	
656	Sawsbuck-Winter	Slush Rush		Skill Link		Fur Coat		?		?		?	
587	Emolga	No Guard		Motor Drive		Wind Rider		Plus		Minus		Minus	
588	Karrablast	Swarm		Battle Armor		No Guard		Anticipation		Anticipation		Anticipation	
589	Escavalier	Swarm		Shell Armor		Justified		Anticipation		Anticipation		Anticipation	
590	Foongus	Regenerator		Contagious		Prankster  		Stakeout		Effect Spore		Effect Spore	
591	Amoongus	Regenerator		Contagious		Prankster  		Stakeout		Effect Spore		Effect Spore	
592	Frillish	Water Absorb		Merciless		Cursed Body		Drizzle		Shadow Tag		Shadow Tag	
593	Jellicent	Water Absorb		Merciless		Gourmand		Drizzle		Shadow Tag		Shadow Tag	
594	Alomomola	Healer		Natural Cure		Regenerator		Drizzle		Drizzle		Drizzle	
595	Joltik	Keen Senses		Technician		Unnerve		Arena Trap		Stakeout		Plus	
596	Galvantula	Keen Senses		Technician		Unnerve		Arena Trap		Stakeout		Plus	
597	Ferroseed	Iron Barbs		Iron Barbs		Iron Barbs		Aftermath		Anticipation		Anticipation	
598	Ferrothorn	Iron Barbs		Iron Barbs		Iron Barbs		Aftermath		Anticipation		Anticipation	
599	Klink	Light Metal		Heavy Metal		Motor Drive		Levitate		Plus		Minus	
600	Klang	Light Metal		Heavy Metal		Motor Drive		Levitate		Plus		Minus	
601	Klinklang	Light Metal		Heavy Metal		Motor Drive		Levitate		Plus		Minus	
602	Tynamo	Levitate		Swift Swim		Swift Swim		Stakeout		Plus		Minus	
603	Eelektrik	Levitate		Swift Swim		Swift Swim		Stakeout		Plus		Minus	
604	Eelektross	Levitate		Swift Swim		Swift Swim		Stakeout		Plus		Minus	
605	Elgyem	Patient		Levitate		Inner Focus		Illusion		Plus		Minus	
606	Beheeyem	Patient		Levitate		Inner Focus		Illusion		Plus		Minus	
607	Litwick	Flash Fire		Illumination		Infiltrator		Illusion		Shadow Tag		Drought	
608	Lampent	Flash Fire		Illumination		Infiltrator		Illusion		Shadow Tag		Drought	
609	Chandelure	Flash Fire		Illumination		Infiltrator		Illusion		Shadow Tag		Drought	
610	Axew	Mold Breaker		Rivalry		Unnerve		Tenacity		Sturdy		Anger Point	
611	Fraxure	Mold Breaker		Rivalry		Unnerve		Tenacity		Sturdy		Anger Point	
612	Haxorus	Mold Breaker		Rivalry		Hyper Cutter		Tenacity		Sturdy		Anger Point	
613	Cubchoo	Rattled		Sheer Force		Swift Swim		Slush Rush		Snow Warning		Snow Cloak	
614	Beartic	Fluffy		Sheer Force		Swift Swim		Slush Rush		Snow Warning		Snow Cloak	
615	Cryogonal	Levitate		Ice Body		Sturdy		Aftermath		Snow Warning		Snow Cloak	
616	Shelmet	Shell Armor		Swarm		Dry Skin		Anticipation		Anticipation		Anticipation	
617	Accelgor	Infiltrator		Swarm		Dry Skin		Anticipation		Anticipation		Anticipation	
618	Stunfisk	Dry Skin		Patient		Cloud Nine		Sand Veil		Sand Stream		Sand Stream	
619	Mienfoo	Reckless		Keen Senses		Regenerator		Anticipation		Strong Body		Strong Body	
620	Mienshao	Reckless		Keen Senses		Regenerator		Anticipation		Strong Body		Strong Body	
